Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s_073-T2b-1c_B2_DNA_trimmed_read1	s_073-T2b-1c_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29085982.0	0.0	75-151	51.0	84.35303988708375	143.54583125300704	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_073-T2b-1c_B2_DNA_trimmed_read2	s_073-T2b-1c_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29085982.0	0.0	75-151	51.0	85.73173933875943	138.11862614781236	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_077-T2a_B2_DNA_trimmed_read1	s_077-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11397280.0	0.0	75-151	49.0	47.83098850778031	144.62455147193015	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	fail
s_077-T2a_B2_DNA_trimmed_read2	s_077-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11397280.0	0.0	75-151	49.0	49.44179993403211	140.50529722881248	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	fail
s_078-T2a_B2_DNA_trimmed_read1	s_078-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35774181.0	0.0	75-151	47.0	84.55340347147296	144.20222947941141	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
s_078-T2a_B2_DNA_trimmed_read2	s_078-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35774181.0	0.0	75-151	47.0	84.82605017119963	139.1139210147117	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
s_081-T2a_B2_DNA_trimmed_read1	s_081-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28182941.0	0.0	75-151	50.0	83.23649378181386	143.6686524660432	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_081-T2a_B2_DNA_trimmed_read2	s_081-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28182941.0	0.0	75-151	50.0	84.41982932504528	138.05989225893777	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_082-T2a_B2_DNA_trimmed_read1	s_082-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43542511.0	0.0	75-151	48.0	45.461132908688114	145.2992427101873	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	fail
s_082-T2a_B2_DNA_trimmed_read2	s_082-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43542511.0	0.0	75-151	48.0	47.452649996175786	138.34401626493243	pass	pass	fail	pass	pass	fail	pass	warn	fail	pass	warn
s_085-T2a_B2_DNA_trimmed_read1	s_085-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29900577.0	0.0	75-151	51.0	82.94267025413667	144.1212334464315	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_085-T2a_B2_DNA_trimmed_read2	s_085-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29900577.0	0.0	75-151	51.0	83.59476279267905	138.53986483270876	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_086-T2a_B2_DNA_trimmed_read1	s_086-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43427703.0	0.0	75-151	50.0	74.84011811845076	145.53623335777166	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	fail
s_086-T2a_B2_DNA_trimmed_read2	s_086-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43427703.0	0.0	75-151	50.0	75.4393837934639	138.20236469794406	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	warn
s_089-T2a_B2_DNA_trimmed_read1	s_089-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35495177.0	0.0	75-151	48.0	79.96563214894233	140.65771746961565	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	warn
s_089-T2a_B2_DNA_trimmed_read2	s_089-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35495177.0	0.0	75-151	48.0	82.41662922289117	136.2824767995945	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	warn
s_090-T2a_B2_DNA_trimmed_read1	s_090-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37777061.0	0.0	75-151	50.0	79.33455889168866	144.34810050469517	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_090-T2a_B2_DNA_trimmed_read2	s_090-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37777061.0	0.0	75-151	51.0	79.5737900839676	138.78391482068972	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	warn
s_093-T2a_B2_DNA_trimmed_read1	s_093-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33700700.0	0.0	75-151	49.0	79.67505798667851	143.58618533146196	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_093-T2a_B2_DNA_trimmed_read2	s_093-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33700700.0	0.0	75-151	49.0	79.9758201194403	140.03881147869333	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_094-T2a_B2_DNA_trimmed_read1	s_094-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38746351.0	0.0	75-151	49.0	78.76292593392105	145.10493259094255	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	warn
s_094-T2a_B2_DNA_trimmed_read2	s_094-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38746351.0	0.0	75-151	49.0	79.40152752610615	137.9753720292267	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	warn
s_097-T2a_B2_DNA_trimmed_read1	s_097-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28767770.0	0.0	75-151	52.0	72.99533209570656	145.20528487261961	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	fail
s_097-T2a_B2_DNA_trimmed_read2	s_097-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28767770.0	0.0	75-151	52.0	74.05029924344277	138.63190097807373	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	fail
s_098-T2a_B2_DNA_trimmed_read1	s_098-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32524309.0	0.0	75-151	48.0	82.74530945591744	143.83783507898661	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_098-T2a_B2_DNA_trimmed_read2	s_098-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32524309.0	0.0	75-151	48.0	83.5044333727856	139.426282661378	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
s_101-T2a_B2_DNA_trimmed_read1	s_101-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33800350.0	0.0	75-151	50.0	78.26509431067475	143.6409673272614	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_101-T2a_B2_DNA_trimmed_read2	s_101-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33800350.0	0.0	75-151	50.0	80.42715378853515	138.51190759858994	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_102-T2a_B2_DNA_trimmed_read1	s_102-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41555010.0	0.0	75-151	49.0	69.60324157359274	145.18878363884403	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	fail
s_102-T2a_B2_DNA_trimmed_read2	s_102-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41555010.0	0.0	75-151	49.0	70.30244660492471	139.3540674397624	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	fail
s_105-T2a_B2_DNA_trimmed_read1	s_105-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40261220.0	0.0	75-151	48.0	74.19106146629187	144.29439515245687	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_105-T2a_B2_DNA_trimmed_read2	s_105-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40261220.0	0.0	75-151	48.0	74.44200693469448	139.5607504193862	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_106-T2a-1c_B2_DNA_trimmed_read1	s_106-T2a-1c_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38676519.0	0.0	75-151	48.0	55.24435328896349	145.21618152864275	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	fail
s_106-T2a-1c_B2_DNA_trimmed_read2	s_106-T2a-1c_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38676519.0	0.0	75-151	48.0	56.8875951827412	139.03378802006458	pass	pass	fail	pass	pass	fail	pass	warn	warn	pass	fail
s_109-T2a_B2_DNA_trimmed_read1	s_109-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11593250.0	0.0	75-151	48.0	75.07589574194307	144.8206404588877	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_109-T2a_B2_DNA_trimmed_read2	s_109-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11593250.0	0.0	75-151	49.0	76.03807388698947	141.83825036120157	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_110-T2a_B2_DNA_trimmed_read1	s_110-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30912204.0	0.0	75-151	47.0	82.85505224487409	145.23239332918482	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
s_110-T2a_B2_DNA_trimmed_read2	s_110-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30912204.0	0.0	75-151	47.0	83.22518133079055	141.08736918273442	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail
s_13__octothorp_2_DNA_trimmed_read1	s_13__octothorp_2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20159985.0	0.0	75-151	47.0	86.14724465008179	145.87326081839842	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	fail
s_13__octothorp_2_DNA_trimmed_read2	s_13__octothorp_2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20159985.0	0.0	75-151	48.0	87.38180426803068	137.77907007371286	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail
s_151-T2a_B2_DNA_trimmed_read1	s_151-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19359635.0	0.0	75-151	51.0	81.18489352977689	143.36616811215708	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_151-T2a_B2_DNA_trimmed_read2	s_151-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19359635.0	0.0	75-151	51.0	83.81250182475452	138.150442918991	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_152-T2a_B2_DNA_trimmed_read1	s_152-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6307125.0	0.0	75-151	46.0	47.5633015735968	143.562967596171	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
s_152-T2a_B2_DNA_trimmed_read2	s_152-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6307125.0	0.0	75-151	46.0	50.20482180565074	140.79085922666826	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	fail
s_153-T2a_B2_DNA_trimmed_read1	s_153-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19782219.0	0.0	75-151	49.0	77.70399593337967	143.88290595711229	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	fail
s_153-T2a_B2_DNA_trimmed_read2	s_153-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19782219.0	0.0	75-151	50.0	78.35008694933836	139.62382723596377	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_154-T2a_B2_DNA_trimmed_read1	s_154-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7059120.0	0.0	75-151	47.0	45.244170050858074	143.80991511689842	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
s_154-T2a_B2_DNA_trimmed_read2	s_154-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7059120.0	0.0	75-151	47.0	48.651415335991295	140.33028706127675	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
s_155-T2a_B2_DNA_trimmed_read1	s_155-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8345467.0	0.0	75-151	49.0	59.465364506964704	143.18175603594142	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	fail
s_155-T2a_B2_DNA_trimmed_read2	s_155-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8345467.0	0.0	75-151	49.0	62.30745913969814	139.59511073496546	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	fail
s_156-T2a_B2_DNA_trimmed_read1	s_156-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23828613.0	0.0	75-151	49.0	78.77786800345434	144.2361167223623	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	fail
s_156-T2a_B2_DNA_trimmed_read2	s_156-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23828613.0	0.0	75-151	49.0	81.27740338290283	138.21837494276315	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	fail
s_157-T2a_2_B2_DNA_trimmed_read1	s_157-T2a_2_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30635459.0	0.0	75-151	49.0	72.87450382863891	144.2291768502636	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	fail
s_157-T2a_2_B2_DNA_trimmed_read2	s_157-T2a_2_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30635459.0	0.0	75-151	49.0	76.75984950306487	138.2138568251907	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	fail
s_158-T2a_B2_DNA_trimmed_read1	s_158-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28375304.0	0.0	75-151	49.0	80.53213644354462	144.32990398975107	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	fail
s_158-T2a_B2_DNA_trimmed_read2	s_158-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28375304.0	0.0	75-151	49.0	82.51662380238065	138.02190602081302	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	fail
s_159-T2a_B2_DNA_trimmed_read1	s_159-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26395378.0	0.0	75-151	47.0	78.57346516256393	144.3213661876712	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	fail
s_159-T2a_B2_DNA_trimmed_read2	s_159-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26395378.0	0.0	75-151	47.0	81.1088810684824	137.9887210556333	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	fail
s_160-T2a_B2_DNA_trimmed_read1	s_160-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26758280.0	0.0	75-151	55.0	38.830237685394685	145.02071433589902	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	fail
s_160-T2a_B2_DNA_trimmed_read2	s_160-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26758280.0	0.0	75-151	55.0	40.496951425271625	137.15333706052854	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	fail
s_161-T2a_B2_DNA_trimmed_read1	s_161-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17994089.0	0.0	75-151	49.0	64.37620855633276	144.454888602585	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	fail
s_161-T2a_B2_DNA_trimmed_read2	s_161-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17994089.0	0.0	75-151	49.0	67.18389673977849	139.46011770865422	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	fail
s_162-T2a_B2_DNA_trimmed_read1	s_162-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13997837.0	0.0	75-151	49.0	51.664362017984246	143.905138915391	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	fail
s_162-T2a_B2_DNA_trimmed_read2	s_162-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13997837.0	0.0	75-151	49.0	57.07083829273141	139.08189629583484	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	fail
s_163-T2a_B2_DNA_trimmed_read1	s_163-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19108555.0	0.0	75-151	49.0	72.91843904248736	143.74856916182307	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_163-T2a_B2_DNA_trimmed_read2	s_163-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19108555.0	0.0	75-151	50.0	74.6021532555272	140.5182307087061	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_164-T2a_B2_DNA_trimmed_read1	s_164-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20655864.0	0.0	75-151	50.0	68.89012997339641	145.07582708716518	pass	pass	fail	pass	warn	pass	pass	warn	warn	pass	fail
s_164-T2a_B2_DNA_trimmed_read2	s_164-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20655864.0	0.0	75-151	50.0	69.96663045229717	139.94223422462503	pass	pass	fail	pass	warn	pass	pass	warn	warn	pass	fail
s_165-T2a_B2_DNA_trimmed_read1	s_165-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36281777.0	0.0	75-151	52.0	78.89484305616843	144.3805537418964	pass	pass	fail	pass	warn	fail	pass	warn	pass	pass	fail
s_165-T2a_B2_DNA_trimmed_read2	s_165-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36281777.0	0.0	75-151	52.0	81.1737608863149	136.4293916474929	pass	pass	warn	pass	pass	fail	pass	warn	pass	pass	fail
s_166-T2a_B2_DNA_trimmed_read1	s_166-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30225229.0	0.0	75-151	50.0	82.7409554304605	144.37436824713552	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_166-T2a_B2_DNA_trimmed_read2	s_166-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30225229.0	0.0	75-151	50.0	83.73730504892866	137.61559986857338	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	fail
s_167-T2a_B2_DNA_trimmed_read1	s_167-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24573440.0	0.0	75-151	51.0	80.40781263796413	144.52882494270236	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_167-T2a_B2_DNA_trimmed_read2	s_167-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24573440.0	0.0	75-151	51.0	82.67435502239151	138.78257639142097	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_168-T2a_B2_DNA_trimmed_read1	s_168-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36268765.0	0.0	75-151	51.0	77.7691776036948	144.84723474868804	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_168-T2a_B2_DNA_trimmed_read2	s_168-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36268765.0	0.0	75-151	51.0	79.86275490446519	138.298004246905	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_169-T2a_B2_DNA_trimmed_read1	s_169-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14724882.0	0.0	75-151	50.0	69.94474008905082	144.44063483836408	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	fail
s_169-T2a_B2_DNA_trimmed_read2	s_169-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14724882.0	0.0	75-151	50.0	73.11854849161756	139.47693842300401	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	fail
s_170-T2a_B2_DNA_trimmed_read1	s_170-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26275810.0	0.0	75-151	49.0	83.7584016850829	144.75935280396683	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_170-T2a_B2_DNA_trimmed_read2	s_170-T2a_B2_DNA_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26275810.0	0.0	75-151	49.0	85.43756027057758	138.54073712665755	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	fail
s_171-T2a_B2_DNA_trimmed_read1	s_171-T2a_B2_DNA_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15717256.0	0.0	75-151	50.0	74.43149807737302	144.52876278149316	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	fail
